,African,Alcohol,Bakery,Barbecue,Beef,Breakfast & Brunch,Bubble Tea,Burgers,Butcher,Canadian,Caribbean,Chicken,Chinese,Coffee/Tea,Convenience,Desserts,Ethiopian,Fast Food,Filipino,French,Fries,German,Gluten Free,Halal,Haute Cuisine,Healthy,Hot Dogs & Sausages,Indian,Italian,Japanese,Korean,Kosher,Lamb,Latin American,Mediterranean,Mexican,Middle Eastern,Noodles,Pet Food,Pizza,Popcorn,Pork,Pub Food,Rice,Sandwiches & Subs,Seafood,Soup,Spanish,Steakhouse,Sushi,Tacos,Thai,Vegetarian,Vietnamese
African,0.9988089017872187,0.3985356546602877,0.4017537219700712,0.406698287816467,0.4042763489058048,0.40286954912041134,0.399475289563373,0.40138418268737586,0.3995107622071015,0.3989451256637069,0.39829643541704784,0.40419430835035847,0.4044522878818994,0.40132134867638414,0.3986000264383331,0.40124461174548803,0.3983805535712192,0.40193664082138403,0.3981814644435918,0.3989129481122069,0.4025728276348981,0.39816921830769675,0.39826592354557583,0.39845885120312435,0.39816839422847744,0.422243996889867,0.3990696727333156,0.4088848815370202,0.39897887707292273,0.39909440412647706,0.3986806304595552,0.39816831597106883,0.3988201194561446,0.39823588441487473,0.3997503620740796,0.40445431117126573,0.4005313980613348,0.4032789243651276,0.39834644406644437,0.39900958576671114,0.39850856214647123,0.40030106502566104,0.4033287799356007,0.405938147483119,0.4060068654540195,0.40104665250586113,0.4056668548638257,0.39840190506582523,0.3986187719208294,0.3989195728877046,0.3995038285550648,0.40012856353614495,0.40069120868331287,0.3990591029089662
Alcohol,0.3985356546602877,0.9988089017872187,0.44162026699894924,0.4288899234579635,0.43700316306293285,0.4397855455877471,0.4059902992246719,0.46159157079649416,0.45584328290702364,0.5066900485934904,0.40464132465386654,0.4573128602998905,0.4222134880591478,0.44200736921029804,0.41448431513796824,0.43568829950094284,0.3989552549259699,0.45493485111425447,0.3997345512840773,0.41337606047285747,0.4404238180112054,0.4171566926796938,0.4022866867573906,0.39954045906444413,0.4142328836968579,0.44872755530831065,0.4313460639859301,0.41605610994452785,0.4259418961557022,0.4201259956403374,0.4034278421382034,0.4005809164522224,0.40710369953948367,0.4040512064536124,0.4146853713566219,0.4227391102944011,0.41733721423496134,0.4233112446127066,0.44785235937111156,0.43652785341253575,0.40852163515533246,0.44462944843706964,0.44038040600747946,0.4226666996850499,0.44326188072512224,0.4365391446904867,0.42363011881910967,0.40599539489946224,0.41879400100547964,0.40987896554726216,0.41445230662993976,0.40563464089843276,0.4133553727398245,0.41151801305019536
Bakery,0.4017537219700712,0.44162026699894924,0.9988089017872187,0.5657566601889855,0.5750345851940983,0.8209334246245581,0.4519973624207055,0.6576370825568365,0.5974050978007768,0.5054063878690785,0.4225872320787682,0.7497328585621448,0.5091476186993125,0.6657650217293271,0.45334167084163407,0.778723261263375,0.40095489939970697,0.7699807900742248,0.40497508143033467,0.5896726039564876,0.6043448521095363,0.41349303670562343,0.4124185332030827,0.40625738745832224,0.40343567684599585,0.574816034888652,0.7721896054916778,0.4822659267695418,0.47795915044011783,0.5023123627223597,0.4357991873481287,0.4044433852005222,0.4318464079962717,0.41747938529410206,0.47216758330740893,0.49027524316899607,0.4883107627935305,0.5585991582556011,0.45932861807797287,0.5229027008914582,0.4608461061309994,0.6518562207674885,0.6021695342423679,0.5267433933820014,0.6539188010228325,0.548443492189073,0.5137124992153803,0.42984000908154935,0.482559180265402,0.4499722210409568,0.44833211881276824,0.4360408431237943,0.4773905004309829,0.48844404891825094
Barbecue,0.406698287816467,0.4288899234579635,0.5657566601889855,0.9988089017872187,0.6812260218131483,0.546047387851315,0.46455162035999753,0.598069187622937,0.5109185708758048,0.5037173181448096,0.418308816805798,0.7893531132154106,0.5981363358248499,0.5090749953789688,0.4177579158215588,0.5440432744219365,0.40072942393182603,0.592033474140714,0.40626525199568536,0.49022663524299825,0.5384578129219891,0.4075220641932948,0.42481428165646395,0.4192511933382262,0.4002661610299009,0.6326244480099258,0.4844555161040815,0.4678040192538163,0.4686298805022595,0.5242655132208575,0.49897704082742833,0.4014280975413268,0.43413935130071923,0.41287110778230307,0.48282789471744286,0.4888810597847157,0.5229847730593233,0.7479998324720877,0.4495634269029787,0.558856142630211,0.4287189315331413,0.7556729068352854,0.5359720212458616,0.6530557736273362,0.6604419661306581,0.6180908133162748,0.5814204850005312,0.421603066130726,0.5037473970887907,0.47691969828822633,0.45443051454611966,0.4519008028329891,0.48427373245729693,0.5270093266319494
Beef,0.4042763489058048,0.43700316306293285,0.5750345851940983,0.6812260218131483,0.9988089017872187,0.5622219828518324,0.511209309478095,0.6113363910713171,0.5194237729419958,0.50136246382123,0.41837989000576736,0.7970719774015672,0.7013219224494649,0.5570419275802385,0.42906748117461463,0.5358684627076206,0.41954581976689953,0.6300163067118606,0.4151047989710101,0.4938844490906733,0.5697260231973139,0.4070781505100658,0.41546948279476614,0.4065998738114355,0.4008562894721803,0.6699353488357442,0.49354098893070886,0.5116277278489181,0.4837756251883096,0.6995647182997446,0.4979944353883267,0.40445246650308,0.5375084837221015,0.42086515012171716,0.5092410429538923,0.5358946717004168,0.733440954571577,0.8653534063928675,0.46547095332167415,0.5250901806093636,0.43523007791439616,0.6986799322517384,0.5287337690977244,0.766122096932268,0.7139198841282436,0.6788762863828031,0.7888990912280148,0.4404233905102835,0.5033915907188972,0.49774121234428514,0.5282241281148743,0.4812930528287412,0.4907045361072766,0.666583534491387
Breakfast & Brunch,0.40286954912041134,0.4397855455877471,0.8209334246245581,0.546047387851315,0.5622219828518324,0.9988089017872187,0.4483188726201737,0.6204527963929182,0.5271224602195398,0.525267524550477,0.41958172606326044,0.6577247543037202,0.5281052866382634,0.6338100967089012,0.43508940429149257,0.6011386379216209,0.40324814847208956,0.6949599975426505,0.40468162604728686,0.625657658810866,0.5592863428275658,0.4084703869286695,0.4190767865041995,0.4048484388815559,0.40021311158903694,0.6100074650403051,0.8577402335103839,0.535172403502676,0.4906423369039077,0.5095553235033549,0.438040955814845,0.4024716629841997,0.43669567013985794,0.41061666979641187,0.4854990971012975,0.5153009365234832,0.485371516463354,0.5444048920438023,0.45551236741377854,0.5251063406851971,0.43538031534952176,0.6901744756476464,0.5153286918392891,0.5459292706332433,0.7166586815862733,0.5443683608312391,0.5251719421536474,0.435700905591191,0.4965945159108295,0.46197451643135623,0.45270411035853925,0.441192168923208,0.8526438545691913,0.4574842139297069
Bubble Tea,0.399475289563373,0.4059902992246719,0.4519973624207055,0.46455162035999753,0.511209309478095,0.4483188726201737,0.9988089017872187,0.443738162312874,0.480382596673524,0.4184865330207743,0.40416144500904044,0.49542522683137885,0.4609568295536281,0.6437683830345243,0.40971932848507364,0.46190792843980044,0.39855230659460866,0.4605597460031532,0.4047211418814613,0.42706521135071407,0.4413378898970383,0.3994728983792601,0.40301829029083286,0.40137060445230016,0.3986434859557928,0.519251522192667,0.4235565941635036,0.4210085276025615,0.4153706688450328,0.5113522388038119,0.42490388436704424,0.39917529556902986,0.4100903871344818,0.4024597954246368,0.41883773786567635,0.4205504547227005,0.4271332713416965,0.48754661326005344,0.42127122646534976,0.4200726914522413,0.4285981125301466,0.4639557001072337,0.42715987448999665,0.4723718407483528,0.46008125660592764,0.4799402559538724,0.47531535590103935,0.40811085972754585,0.43038679912585065,0.4453662913675593,0.4108899627682321,0.41966315707106305,0.4239748243674623,0.4548133039628352
Burgers,0.40138418268737586,0.46159157079649416,0.6576370825568365,0.598069187622937,0.6113363910713171,0.6204527963929182,0.443738162312874,0.9988089017872187,0.5331651156717117,0.6013750315900959,0.4335820451013474,0.830469282469163,0.49325274930712,0.5444631213374238,0.45300525429845145,0.6936746391384429,0.40434676552004023,0.9563339663084969,0.4026836029102668,0.4969192192718853,0.8768572160307667,0.4070741225437775,0.4123404629904316,0.42083700198553864,0.40214350624289263,0.5644601050266207,0.5839886974811992,0.4664272951455533,0.4750805995774021,0.5010625530478653,0.4258063424979349,0.40153894624492437,0.438478628081337,0.41178676694516125,0.4880571223891139,0.5077539379422593,0.5025901693254027,0.5170493268439069,0.48456157395247473,0.5264017815169169,0.44108938309195345,0.7417975795432215,0.5889135412597145,0.5020547532218603,0.7114528825370361,0.5296822810295355,0.4906375498411931,0.42766851782253534,0.5001466036485133,0.44418128821194436,0.46279524733087063,0.4372908530878518,0.5287024529564739,0.45169085052670055
Butcher,0.3995107622071015,0.45584328290702364,0.5974050978007768,0.5109185708758048,0.5194237729419958,0.5271224602195398,0.480382596673524,0.5331651156717117,0.9988089017872187,0.4556437137637799,0.4135743278342259,0.5704151800468581,0.4918258751676206,0.49749435638700196,0.44506085414239294,0.6505346303344876,0.402016587874315,0.5383823992289947,0.40174337501602725,0.46328756479246425,0.5032929866491433,0.403495355775654,0.40306896625271693,0.40129504389069937,0.41097163352156907,0.5936801320516323,0.47214119868540055,0.49286693977357626,0.43845953955867706,0.5103349252622461,0.42066511843632276,0.40012513077608286,0.43045506961873875,0.4056817739831448,0.4427176611761388,0.44696839208502437,0.44510403952997013,0.5097113022209483,0.4349430846628971,0.4573654998975827,0.4246314379856324,0.5223571732701494,0.4634047087843673,0.5204338944890549,0.5127145749082025,0.6660068777596772,0.48549187716342435,0.41407840525753653,0.4478949053643763,0.4744922906086402,0.42770371918527733,0.4398241298297552,0.44390314152364047,0.44652478509789995
Canadian,0.3989451256637069,0.5066900485934904,0.5054063878690785,0.5037173181448096,0.50136246382123,0.525267524550477,0.4184865330207743,0.6013750315900959,0.4556437137637799,0.9988089017872187,0.40710955856270675,0.5947356755002348,0.4499063619710745,0.4661385155003756,0.41796859120108676,0.519212654421054,0.3994198602397828,0.5520602682887844,0.40053827469112624,0.4470274010122722,0.5222069410300103,0.40618967556157526,0.40469891190662577,0.4013334853290416,0.4002262472900382,0.4898687113990282,0.46665471228840216,0.43485400252460127,0.4416063827152362,0.4466061223588796,0.4219967661003613,0.4029135894084103,0.4175001309542946,0.4085964167749435,0.4482231008045284,0.45647073660897874,0.49784826401414234,0.4510757194360251,0.4785868098123412,0.5226718142885955,0.43900949126350586,0.5511887356953165,0.5144670972648043,0.4535851511520065,0.548912513855071,0.4615629419043341,0.4472345139506017,0.418219474420822,0.47335919093145307,0.42155530469152885,0.4402740437593889,0.4164587375634386,0.4531178945307339,0.42246328778429026
Caribbean,0.39829643541704784,0.40464132465386654,0.4225872320787682,0.418308816805798,0.41837989000576736,0.41958172606326044,0.40416144500904044,0.4335820451013474,0.4135743278342259,0.40710955856270675,0.9988089017872187,0.4355550562303837,0.4084697306594253,0.4134250289222608,0.43167165800119306,0.424065009609274,0.40241278724957064,0.4199439388914581,0.3985636250308056,0.40841953938398495,0.41188284851341317,0.3988255026313605,0.41193867193962636,0.42117998815020613,0.3987822820486274,0.42150779920618775,0.4117772488506796,0.40563266056950553,0.40541864334742805,0.40984104220341266,0.40644496569108446,0.39821550375559134,0.4027219011562958,0.41304901759326235,0.40363028853065297,0.4220091729258712,0.4088203537901873,0.40930439821252834,0.41665996706950165,0.4122232323908988,0.40082745896984334,0.41454278159377356,0.4177915956754348,0.4195847081297206,0.4204681532889652,0.4253122223894554,0.4130526870227129,0.4001499218423677,0.4054940882515654,0.4084071490828439,0.41875494552201326,0.40480395753688714,0.4063975224884052,0.40398824626919205
Chicken,0.40419430835035847,0.4573128602998905,0.7497328585621448,0.7893531132154106,0.7970719774015672,0.6577247543037202,0.49542522683137885,0.830469282469163,0.5704151800468581,0.5947356755002348,0.4355550562303837,0.9988089017872187,0.6695620790205858,0.6172815199337993,0.4493983284074662,0.6716476423520612,0.40713241500081604,0.8576600323480782,0.4134318530794767,0.5328835272193387,0.7614888719251053,0.41191542145691445,0.4228614562080885,0.41765575417733736,0.4014761616466126,0.7268344367841486,0.5736736124644791,0.7207056642470454,0.534675156120783,0.7013973807390215,0.48988439018209234,0.4071685739582007,0.5254891405257087,0.42170686767616583,0.5485085387047843,0.5645384102824895,0.6803139299176166,0.7185062897945276,0.4795606171713337,0.6368706040608211,0.5232009758014232,0.7469873546684493,0.7285365968962956,0.7912737566446886,0.8479875104170583,0.6761715181380195,0.6481783733775159,0.4457794705733491,0.5327776384838308,0.48635169592891164,0.5051075121442491,0.5282143105771423,0.5388796944373944,0.5326607169751428
Chinese,0.4044522878818994,0.4222134880591478,0.5091476186993125,0.5981363358248499,0.7013219224494649,0.5281052866382634,0.4609568295536281,0.49325274930712,0.4918258751676206,0.4499063619710745,0.4084697306594253,0.6695620790205858,0.9988089017872187,0.4661522376672669,0.4088978120562781,0.4741189113340875,0.39982904671300556,0.5179077961632117,0.4027668820137698,0.4503077028186348,0.4763121180716995,0.40435710672659975,0.40899132838135926,0.3994487488621741,0.39948165303638816,0.6459346453285144,0.4533793697380006,0.45951723833506214,0.44774757979461416,0.6336188818031274,0.45655736780840817,0.4014159240555937,0.43122357386452537,0.4073120518576364,0.4509071303071131,0.4466001184846114,0.4621256664312295,0.6573689064021644,0.4357260655554628,0.4757336629267519,0.4228151198252086,0.6970190020030247,0.48521643805068054,0.6786252434497783,0.5104791778429356,0.69471634329389,0.794837486154066,0.4155204009141454,0.44617462777916245,0.5083006030947579,0.43574249840601326,0.4923485001413419,0.5183264458540408,0.49085070405080883
Coffee/Tea,0.40132134867638414,0.44200736921029804,0.6657650217293271,0.5090749953789688,0.5570419275802385,0.6338100967089012,0.6437683830345243,0.5444631213374238,0.49749435638700196,0.4661385155003756,0.4134250289222608,0.6172815199337993,0.4661522376672669,0.9988089017872187,0.44036175417819345,0.5723468740976002,0.4067592027375163,0.6029940395390682,0.40974369744534794,0.5550683828041925,0.5171748085614377,0.4016687180870658,0.40815844253879996,0.41335455018711054,0.39966964912422603,0.5568972638916964,0.5533883846522513,0.47134262385478937,0.4387959500398053,0.4979157708264417,0.4202418877730173,0.3998121038260476,0.46335769586559317,0.41246966832054804,0.5838737534643267,0.4601224559714597,0.5623692870038082,0.48616889801893154,0.44599395304639744,0.4610867803610779,0.4261944367762725,0.5308578816588347,0.47699163361363617,0.48687251737422965,0.5915333985519816,0.5021879750663122,0.48431187241140866,0.4172989443810417,0.45126769338715383,0.5347543992258869,0.4394035392929402,0.4293426334655411,0.46678430334883053,0.4551449950250419
Convenience,0.3986000264383331,0.41448431513796824,0.45334167084163407,0.4177579158215588,0.42906748117461463,0.43508940429149257,0.40971932848507364,0.45300525429845145,0.44506085414239294,0.41796859120108676,0.43167165800119306,0.4493983284074662,0.4088978120562781,0.44036175417819345,0.9988089017872187,0.4815480224811292,0.398237061419927,0.46669834928027626,0.3983185432723229,0.4101725635067283,0.43207386612172194,0.39948686553596563,0.3990900248912332,0.39876143279601123,0.3984446820166212,0.4350301858925101,0.4314984007933457,0.40588092282382227,0.41321459885357525,0.41174116836100366,0.4017598858579644,0.39866516208872943,0.4004231043207049,0.4037175078896471,0.4086858091827677,0.4773798102297422,0.4115082075037458,0.4145845810617999,0.4480475803250742,0.42245463975341735,0.40893330829231833,0.4291263045662433,0.4432876142237819,0.40890203796475805,0.44460691248919254,0.41080564992167773,0.4139623358119124,0.40230407260238965,0.41202656395541637,0.4027914181114844,0.4071930983423752,0.40129134304376907,0.40599918299843446,0.4071889953274835
Desserts,0.40124461174548803,0.43568829950094284,0.778723261263375,0.5440432744219365,0.5358684627076206,0.6011386379216209,0.46190792843980044,0.6936746391384429,0.6505346303344876,0.519212654421054,0.424065009609274,0.6716476423520612,0.4741189113340875,0.5723468740976002,0.4815480224811292,0.9988089017872187,0.4000610409056486,0.6737517148238334,0.4014034404638808,0.5278193104835592,0.6364224327138983,0.40848678658003124,0.4096145966875171,0.4069590731533402,0.4047306503847343,0.5657227422087338,0.5231505227202898,0.4747064870145249,0.4887083899561964,0.48707263980711696,0.42124141467333603,0.40231679361742556,0.4233039759618085,0.42860393849118134,0.47155976799406024,0.5008078070353358,0.47560732031993963,0.4899349618016903,0.4707030383356304,0.5147962301272988,0.46718849726840617,0.5932718022556792,0.5252296825196096,0.48686722977306196,0.6538472892633879,0.5061323276914514,0.47995089591515255,0.43420856314773576,0.48778028328887224,0.43574558514839806,0.4470782158196503,0.4310967049918957,0.4689808832366708,0.4407957061367266
Ethiopian,0.3983805535712192,0.3989552549259699,0.40095489939970697,0.40072942393182603,0.41954581976689953,0.40324814847208956,0.39855230659460866,0.40434676552004023,0.402016587874315,0.3994198602397828,0.40241278724957064,0.40713241500081604,0.39982904671300556,0.4067592027375163,0.398237061419927,0.4000610409056486,0.9988089017872187,0.40553888480996875,0.39818573428147064,0.39946314570349983,0.4000716507288252,0.39825723644435473,0.3982089046816545,0.3995411767256127,0.39816831597106883,0.40452521063541025,0.39894325098194156,0.40071369421262143,0.40620364519149516,0.3996217744143757,0.39826962993639425,0.39816831597106883,0.4522208853356325,0.3982439449038482,0.39981457973941165,0.40025996388990176,0.4023221457271157,0.3993940798735645,0.3994734739825359,0.40083817445056524,0.3985338458404178,0.3988064080558252,0.40057219492227847,0.4011799046353241,0.4017745749861648,0.40116693799615544,0.3995997536159836,0.3983466617183674,0.39903534394183166,0.3990664568026007,0.399082835766267,0.39862630753204215,0.4085068426214511,0.3983885600084382
